review,rating
"Eenzijdige regels, bezorgkosten vragen ze ook nog eens commissie over triest voor woorden en de transactiekosten 0,19 cent en dat halen ze ook nog eens bij de klant 0,25 centUpdate commissie berekenen over de bezorgkosten is gewoon triest en de administartiekosten ook 👎",1
Wat slecht zeg. We zitten nu al 2 uur te wachten op ons eten. De kinderen hebben enorme honger. Voor ons geen thuisbezorgd meer,1
Bestelling was maar voor de helft geleverd. Daarvoor de klantenservice gebeld die mij meerdere keren gewoon heeft opgehangen. Als er een alternatief zou zijn zou ik daar direct voor kiezen.,1
"Werk al jaren als restaurant met thuisbezorgd.nl. Zelf in deze moeilijke tijden proberen wij onze kop boven water te houden. Klant geeft aan het eten niet meer te willen en wilt het geld terug. Ik bel netjes thuisbezorgd om het geld terug te laten storten naar de klant. Echter krijg ik te horen dat thuibezorgd.nl zijn werk heeft geleverd en ik dus gewoon 13% commissie moet betalen over het geannuleerde order. Is de manier hoe jullie in de media aangeven restaurant te steunen? Telefoniste kan niets voor mij betekenen dan volgens het boekje te werk gaan. Ik vind het belachelijk! Het is maar dat mijn bedrijf afhankelijk is van jullie website, anders was ik er gelijk af want er is hier totaal geen sprake van samenwerking.",1
Onoverzichtelijk na update van de app. Vreselijk irritant. Doe hier iets aan!,1
"Bij een restaurant besteld. Bestelling koud ontvangen. Ze hebben kaas op mijn burger gedaan, terwijl ik aan had gegeven dit niet op mijn burger te doen. In verband met Allergie. Bestelling weg kunnen gooien en geld kwijt.Hoe thuisbezorgd dit heeft afgehandeld is erg slecht.Mensen je hoeft bij thuisbezorgd niet te verwachten dat ze je helpen. Als je slechte bestelling krijgt dan ben je je geld gewoon kwijt.",1
"heerlijk stamppot zuurkool besteld bij "" vers uit oma's keuken"".We kregen van het huis er en blikje cola en heerlijke appelmoes bij. Maar helemaal speciaal was het handgeschreven persoonlijk kaartje :-)",5
Lekker eten en kreeg er gratis koekjes bij:),4
Niet blij met Thuisbezorgd!!Al weken lang krijg ik sms'jes van bestellingen die ik niet heb gedaan.Meerdere keren contact gehad met Thuisbezorgd maar zij willen de persoon die mijn telefoonnummer misbruikt niet verwijderen.Blijkbaar is het te moeilijk voor deze organisatie om een verificatie van het telefoonnummer te doen.Je kunt dus heel gemakkelijk iemands nummer misbruiken.Amateuristisch......De onderstaande reactie meerdere malen ontvangen van Thuisbezorgd. Na de zoveelste mail blijkt dat Thuisbezorgd niets wil doen aan deze vervelende situatie.,1
Kunsushi bestelling.Ik had een bestelling geplaatst kwam 10 min later dan afgesproken vond ik niet zo erg maar wat warm moest zijn was gewoon koud.Omdat ze het niet in warmte houd dozen of zilverfolie gebruiken.,3
